borrower_id,month,income,expenses,mfi_repayment_due,mfi_repayment_paid
B23,7,26562,13266,3300,3300
B23,8,31523,15936,3300,3300
B23,9,32880,16538,3300,3300
B23,10,33362,16918,3300,3300
B23,11,32596,16128,3300,3300
B23,12,33003,17105,3300,3300
B24,1,29296,17095,2900,2900
B24,2,29605,17394,2900,2900
B24,3,31349,18504,2900,2900
B24,4,31143,18449,2900,2900
B24,5,30093,17362,2900,2900
B24,6,30769,18149,2900,2900
B24,7,30986,17939,2900,2900
B24,8,31318,18209,2900,2900
B24,9,29879,16774,2900,2900
B24,10,29118,16694,2900,2900
B24,11,29850,17565,2900,2900
B24,12,29502,16662,2900,2900
B25,1,25292,13263,3500,3500
B25,2,24896,13724,3500,3500
B25,3,24807,13289,3500,3500
B25,4,26400,13965,3500,3500
B25,5,27831,14823,3500,3500
B25,6,26040,14068,3500,3500
B25,7,23794,13129,3500,3500
B25,8,27491,14951,3500,3500
B25,9,27209,14850,3500,3500
B25,10,27608,14522,3500,3500
B25,11,28285,15012,3500,3500
B25,12,26155,14107,3500,3500
B26,1,24310,12308,3000,3000
B26,2,22889,11368,3000,3000
B26,3,24359,12238,3000,3000
B26,4,24393,12167,3000,3000
B26,5,23646,11604,3000,3000
B26,6,22366,11174,3000,3000
B26,7,24246,12279,3000,3000
B26,8,19706,9575,3000,3000
B26,9,22462,11271,3000,3000
B26,10,22503,11112,3000,3000
B26,11,22224,10938,3000,3000
B26,12,22385,10986,3000,3000
B27,1,32310,16050,3500,3500
B27,2,31542,15454,3500,3500
B27,3,30446,15158,3500,3500
B27,4,32618,16175,3500,3500
B27,5,30642,15154,3500,3500
B27,6,30609,14999,3500,3500
B27,7,32104,16016,3500,3500
B27,8,30728,14697,3500,3500
B27,9,32084,15467,3500,3500
B27,10,31474,15608,3500,3500
B27,11,30202,14635,3500,3500
B27,12,29367,14468,3500,3500
B28,1,27528,16781,2400,2400
B28,2,27283,16107,2400,2400
B28,3,28417,16842,2400,2400
B28,4,27371,16165,2400,2400
B28,5,28347,17153,2400,2400
B28,6,28788,16820,2400,2400
B28,7,28096,16334,2400,2400
B28,8,26836,15610,2400,2400
B28,9,28090,16579,2400,2400
B28,10,26922,16519,2400,2400
B28,11,27611,16639,2400,2400
B28,12,27957,16962,2400,2400
B29,1,26000,15000,3200,3200
B29,2,26200,15000,3200,3200
B29,3,25800,15000,3200,3200
B29,4,26100,15000,3200,3200
B29,5,25900,15000,3200,3200
B29,6,26000,15000,3200,3200
B29,7,25000,15000,3200,3200
B29,8,24000,15000,3200,3200
B29,9,23500,15000,3200,3200
B29,10,22500,15000,3200,3200
B29,11,21000,15000,3200,2200
B29,12,20000,15000,3200,3200
B30,1,28779,16185,2600,2600
B30,2,27832,15131,2600,2600
B30,3,28307,15668,2600,2600
B30,4,27441,15123,2600,2600
B30,5,26747,14734,2600,2600
B30,6,27581,15575,2600,2600
B30,7,26462,15057,2600,2600
B30,8,26500,14477,2600,2600
B30,9,27079,15077,2600,2600
B30,10,26511,14751,2600,2600
B30,11,27547,15446,2600,2600
B30,12,25946,14727,2600,2600
B31,1,22854,11246,2300,2300
B31,2,23320,11553,2300,2300
B31,3,22987,11336,2300,2300
B31,4,22305,11078,2300,2300
B31,5,22730,11204,2300,2300
B31,6,22739,11152,2300,2300
B31,7,23681,12138,2300,2300
B31,8,22434,11365,2300,2300
B31,9,22711,11663,2300,2300
B31,10,22778,11764,2300,2300
B31,11,23642,11866,2300,2300
B31,12,23336,11733,2300,2300
B32,1,31864,17249,3900,3900
B32,2,31452,17294,3900,3900
B32,3,31117,16374,3900,3900
B32,4,30613,16507,3900,3900
B32,5,32119,17370,3900,3900
B32,6,31674,16983,3900,3900
B32,7,30973,16208,3900,3900
B32,8,31495,16742,3900,3900
B32,9,31386,16669,3900,3900
B32,10,30568,16566,3900,3900
B32,11,29615,16228,3900,3900
B32,12,28996,15396,3900,3900
B33,1,31076,18308,3400,3400
B33,2,32460,19423,3400,3400
B33,3,32483,18772,3400,3400
B33,4,32192,19576,3400,3400
B33,5,30062,17892,3400,3400
B33,6,31903,18570,3400,3400
B33,7,30761,17817,3400,3400
B33,8,25366,15045,3400,3400
B33,9,30508,18097,3400,3400
B33,10,30553,17626,3400,3400
B33,11,30079,18312,3400,3400
B33,12,29761,18034,3400,3400
B34,1,33949,16865,4500,4500
B34,2,34021,17657,4500,4500
B34,3,34078,17803,4500,4500
B34,4,33269,17117,4500,4500
B34,5,33502,17320,4500,4500
B34,6,34799,18210,4500,4500
B34,7,35333,18035,4500,4500
B34,8,33640,17210,4500,4500
B34,9,33541,17002,4500,4500
B34,10,35723,18581,4500,4500
B34,11,36070,18334,4500,4500
B34,12,34640,18198,4500,4500
B35,1,31666,14932,4300,4300
B35,2,31798,15663,4300,4300
B35,3,30224,14974,4300,4300
B35,4,30903,14510,4300,4300
B35,5,31190,15282,4300,4300
B35,6,31480,14955,4300,4300
B35,7,29751,14441,4300,4300
B35,8,28127,13469,4300,4300
B35,9,24286,11407,4300,4300
B35,10,29423,14031,4300,4300
B35,11,30062,14637,4300,4300
B35,12,29862,14418,4300,4300
B36,1,22000,11500,2400,2400
B36,2,22300,11500,2400,2400
B36,3,22600,11500,2400,2400
B36,4,10000,11500,2400,2400
B36,5,21900,11500,2400,2400
B36,6,22400,11500,2400,2400
B36,7,22000,11500,2400,2400
B36,8,21800,11500,2400,2400
B36,9,22200,11500,2400,2400
B36,10,19000,11500,2400,2400
B36,11,13000,11500,2400,2400
B36,12,10000,11500,2400,2400
B37,1,19260,9599,1800,1800
B37,2,18733,9356,1800,1800
B37,3,18680,9456,1800,1800
B37,4,18518,9030,1800,1800
B37,5,19808,9605,1800,1800
B37,6,19532,9933,1800,1800
B37,7,19485,9763,1800,1800
B37,8,16233,7950,1800,1800
B37,9,18784,9576,1800,1800
B37,10,19006,9252,1800,1800
B37,11,18650,9256,1800,1800
B37,12,19105,9364,1800,1800
B38,1,24309,11965,2900,2900
B38,2,22322,10706,2900,2900
B38,3,23940,11213,2900,2900
B38,4,23074,11380,2900,2900
B38,5,22317,10951,2900,2900
B38,6,21772,10806,2900,2900
B38,7,23435,11589,2900,2900
B38,8,22909,11219,2900,2900
B38,9,20856,10267,2900,2900
B38,10,21416,10586,2900,2900
B38,11,21219,10410,2900,2900
B38,12,20921,9934,2900,2900
