borrower_a,borrower_b,source_borrower_id,target_borrower_id,relationship_type,relationship_strength
B-074,B-075,B-074,B-075,same_market,0.37
B-075,B-076,B-075,B-076,same_employer,0.52
B-076,B-077,B-076,B-077,same_supplier,0.61
B-077,B-078,B-077,B-078,family,0.73
B-078,B-079,B-078,B-079,same_market,0.35
B-079,B-080,B-079,B-080,same_village,0.27
B-061,B-071,B-061,B-071,financial_dependency,0.79
B-061,B-073,B-061,B-073,same_supplier,0.66
B-062,B-075,B-062,B-075,mutual_guarantee,0.86
B-063,B-077,B-063,B-077,group_liability,0.81
B-065,B-079,B-065,B-079,co_business,0.72
B-080,B-081,B-080,B-081,same_village,0.25
B-081,B-082,B-081,B-082,joint_loan,0.94
B-081,B-083,B-081,B-083,mutual_guarantee,0.89
B-081,B-084,B-081,B-084,group_liability,0.84
B-081,B-085,B-081,B-085,financial_dependency,0.80
B-081,B-086,B-081,B-086,co_business,0.73
B-081,B-087,B-081,B-087,family,0.76
B-081,B-088,B-081,B-088,same_supplier,0.60
B-081,B-089,B-081,B-089,same_market,0.36
B-081,B-090,B-081,B-090,same_village,0.26
B-082,B-083,B-082,B-083,group_liability,0.79
B-082,B-084,B-082,B-084,mutual_guarantee,0.88
B-083,B-084,B-083,B-084,co_business,0.71
B-084,B-085,B-084,B-085,same_market,0.39
B-085,B-086,B-085,B-086,same_employer,0.54
B-086,B-087,B-086,B-087,same_supplier,0.62
B-087,B-088,B-087,B-088,same_market,0.37
B-088,B-089,B-088,B-089,same_village,0.28
B-089,B-090,B-089,B-090,same_market,0.33
B-090,B-091,B-090,B-091,same_village,0.25
B-091,B-092,B-091,B-092,group_liability,0.77
B-092,B-093,B-092,B-093,co_business,0.68
B-093,B-094,B-093,B-094,same_supplier,0.57
B-094,B-095,B-094,B-095,same_market,0.35
B-095,B-096,B-095,B-096,same_employer,0.52
B-096,B-097,B-096,B-097,same_supplier,0.61
B-097,B-098,B-097,B-098,family,0.72
B-098,B-099,B-098,B-099,same_market,0.34
B-099,B-100,B-099,B-100,same_village,0.25
B-081,B-091,B-081,B-091,financial_dependency,0.78
B-081,B-093,B-081,B-093,same_supplier,0.65
B-082,B-095,B-082,B-095,mutual_guarantee,0.85
B-083,B-097,B-083,B-097,group_liability,0.80
B-085,B-099,B-085,B-099,co_business,0.70
