borrower_id,label,group_id,segment,occupation,location,monthly_income,loan_amount,monthly_installment,existing_loans,previous_loans,previous_late_payments,loan_purpose,attendance_rate,borrowing_frequency,baseline_delay_days,current_delay_days,current_attendance_rate,current_borrowing_frequency
B-041,Borrower 041,G05,retail,Street vendor,Central Block,31500,105000,5900,1,2,0,Working capital,0.92,1,3,2,0.93,1
B-042,Borrower 042,G05,services,Tailor,Central Block,35500,118000,6600,0,2,1,Equipment purchase,0.94,1,2,1,0.93,1
B-043,Borrower 043,G05,agriculture,Vegetable farmer,Central Block,28000,82000,4700,1,1,0,Seasonal inputs,0.91,1,3,2,0.90,1
B-044,Borrower 044,G05,transport,Auto driver,Central Block,34000,120000,6800,1,3,1,Vehicle repair,0.89,1,5,4,0.90,1
B-045,Borrower 045,G05,services,Mobile repairer,Central Block,39000,140000,7900,0,3,0,Shop upgrade,0.95,1,2,1,0.96,1
B-046,Borrower 046,G05,retail,Grocery shopkeeper,Central Block,48000,180000,10100,1,3,1,Inventory,0.93,1,3,2,0.92,1
B-047,Borrower 047,G05,agriculture,Dairy farmer,Central Block,42000,150000,8400,0,2,0,Livestock,0.94,1,2,1,0.95,1
B-048,Borrower 048,G05,services,Beauty worker,Central Block,30500,98000,5500,1,2,1,Working capital,0.88,1,5,4,0.87,1
B-049,Borrower 049,G05,retail,Clothing seller,Central Block,36500,125000,7000,0,2,0,Inventory,0.92,1,3,2,0.93,1
B-050,Borrower 050,G05,transport,Bicycle courier,Central Block,27500,85000,4800,1,1,0,Vehicle repair,0.90,1,3,2,0.89,1
B-051,Borrower 051,G06,retail,Street vendor,Lake District,26000,90000,5200,1,2,1,Working capital,0.89,1,5,7,0.85,2
B-052,Borrower 052,G06,services,Tailor,Lake District,33500,115000,6500,1,2,1,Equipment purchase,0.88,1,4,6,0.84,2
B-053,Borrower 053,G06,agriculture,Rice farmer,Lake District,39000,140000,7900,1,3,1,Seasonal inputs,0.90,1,4,8,0.82,2
B-054,Borrower 054,G06,transport,Auto driver,Lake District,30000,108000,6100,2,2,2,Vehicle repair,0.87,2,5,9,0.80,2
B-055,Borrower 055,G06,services,Mobile repairer,Lake District,36000,130000,7300,1,3,1,Shop upgrade,0.91,1,3,5,0.86,2
B-056,Borrower 056,G06,retail,Grocery shopkeeper,Lake District,45000,170000,9500,2,3,2,Inventory,0.86,2,5,10,0.78,3
B-057,Borrower 057,G06,agriculture,Dairy farmer,Lake District,37000,128000,7200,1,2,1,Livestock,0.88,1,4,7,0.83,2
B-058,Borrower 058,G06,services,Beauty worker,Lake District,28500,95000,5400,1,2,1,Working capital,0.85,2,5,8,0.79,2
B-059,Borrower 059,G06,retail,Clothing seller,Lake District,34500,120000,6800,1,3,1,Inventory,0.90,1,4,6,0.84,2
B-060,Borrower 060,G06,transport,Bicycle courier,Lake District,24000,78000,4500,2,1,2,Vehicle repair,0.84,2,5,9,0.76,3
B-061,Borrower 061,G07,retail,Street vendor,Hill View,29500,100000,5700,1,2,1,Working capital,0.88,1,4,7,0.83,2
B-062,Borrower 062,G07,services,Tailor,Hill View,37000,125000,7000,1,3,1,Equipment purchase,0.90,1,3,5,0.86,2
B-063,Borrower 063,G07,agriculture,Vegetable farmer,Hill View,27500,85000,4900,1,2,1,Seasonal inputs,0.86,2,5,8,0.79,2
B-064,Borrower 064,G07,transport,Auto driver,Hill View,31500,115000,6500,2,3,2,Vehicle repair,0.85,2,5,10,0.77,3
B-065,Borrower 065,G07,services,Mobile repairer,Hill View,38000,135000,7600,1,2,0,Shop upgrade,0.92,1,3,4,0.88,1
B-066,Borrower 066,G07,retail,Grocery shopkeeper,Hill View,43000,160000,9000,2,3,1,Inventory,0.87,2,4,8,0.80,2
B-067,Borrower 067,G07,agriculture,Dairy farmer,Hill View,40500,145000,8100,1,2,1,Livestock,0.89,1,4,6,0.84,2
B-068,Borrower 068,G07,services,Beauty worker,Hill View,31000,105000,5900,1,2,1,Working capital,0.86,2,5,9,0.78,3
B-069,Borrower 069,G07,retail,Clothing seller,Hill View,35500,128000,7200,1,3,1,Inventory,0.91,1,3,5,0.85,2
B-070,Borrower 070,G07,transport,Bicycle courier,Hill View,25000,82000,4700,2,1,2,Vehicle repair,0.83,2,6,10,0.75,3
B-071,Borrower 071,G08,retail,Street vendor,River Side,27500,95000,5400,2,2,2,Working capital,0.82,2,6,14,0.69,3
B-072,Borrower 072,G08,services,Tailor,River Side,34000,120000,6800,2,3,2,Equipment purchase,0.84,2,5,12,0.70,3
B-073,Borrower 073,G08,agriculture,Rice farmer,River Side,36000,135000,7600,2,3,2,Seasonal inputs,0.80,2,7,16,0.65,4
B-074,Borrower 074,G08,transport,Auto driver,River Side,29000,110000,6200,3,2,3,Vehicle repair,0.78,3,8,18,0.61,4
B-075,Borrower 075,G08,services,Mobile repairer,River Side,37000,145000,8100,2,3,2,Shop upgrade,0.85,2,5,11,0.72,3
B-076,Borrower 076,G08,retail,Grocery shopkeeper,River Side,42500,175000,9800,3,3,3,Inventory,0.79,3,8,19,0.60,4
B-077,Borrower 077,G08,agriculture,Dairy farmer,River Side,39000,150000,8400,2,2,2,Livestock,0.83,2,6,15,0.67,3
B-078,Borrower 078,G08,services,Beauty worker,River Side,30000,100000,5700,2,2,2,Working capital,0.77,3,8,17,0.59,4
B-079,Borrower 079,G08,retail,Clothing seller,River Side,35000,130000,7300,2,3,2,Inventory,0.81,2,7,14,0.66,3
B-080,Borrower 080,G08,transport,Bicycle courier,River Side,23500,80000,4600,3,1,3,Vehicle repair,0.75,3,9,20,0.55,4
B-081,Borrower 081,G09,retail,Street vendor,Old Town,25500,105000,6000,2,2,2,Working capital,0.79,2,7,16,0.64,4
B-082,Borrower 082,G09,services,Tailor,Old Town,32500,125000,7100,2,3,2,Equipment purchase,0.81,2,6,14,0.67,3
B-083,Borrower 083,G09,agriculture,Vegetable farmer,Old Town,26500,90000,5100,2,2,3,Seasonal inputs,0.76,3,8,18,0.58,4
B-084,Borrower 084,G09,transport,Auto driver,Old Town,28500,115000,6500,3,3,3,Vehicle repair,0.74,3,9,21,0.53,4
B-085,Borrower 085,G09,services,Mobile repairer,Old Town,35500,140000,7900,2,3,2,Shop upgrade,0.82,2,6,13,0.68,3
B-086,Borrower 086,G09,retail,Grocery shopkeeper,Old Town,40000,180000,10100,3,3,4,Inventory,0.72,3,10,24,0.48,5
B-087,Borrower 087,G09,agriculture,Dairy farmer,Old Town,37500,155000,8700,2,2,3,Livestock,0.78,3,8,19,0.57,4
B-088,Borrower 088,G09,services,Beauty worker,Old Town,28000,108000,6100,3,2,3,Working capital,0.70,4,10,25,0.45,5
B-089,Borrower 089,G09,retail,Clothing seller,Old Town,33500,135000,7600,2,3,3,Inventory,0.75,3,9,22,0.52,4
B-090,Borrower 090,G09,transport,Bicycle courier,Old Town,22500,85000,4900,3,1,4,Vehicle repair,0.68,4,11,27,0.40,5
B-091,Borrower 091,G10,retail,Street vendor,New Extension,24000,110000,6300,3,2,3,Working capital,0.74,3,9,23,0.49,5
B-092,Borrower 092,G10,services,Tailor,New Extension,31500,130000,7400,3,3,3,Equipment purchase,0.76,3,8,20,0.54,4
B-093,Borrower 093,G10,agriculture,Rice farmer,New Extension,34500,145000,8200,3,3,4,Seasonal inputs,0.70,4,10,26,0.43,5
B-094,Borrower 094,G10,transport,Auto driver,New Extension,27500,120000,6800,4,3,4,Vehicle repair,0.67,4,12,29,0.37,6
B-095,Borrower 095,G10,services,Mobile repairer,New Extension,35000,150000,8400,3,3,3,Shop upgrade,0.78,3,8,21,0.56,4
B-096,Borrower 096,G10,retail,Grocery shopkeeper,New Extension,39000,190000,10700,4,3,5,Inventory,0.65,4,12,31,0.35,6
B-097,Borrower 097,G10,agriculture,Dairy farmer,New Extension,36500,165000,9300,3,2,4,Livestock,0.71,4,10,27,0.42,5
B-098,Borrower 098,G10,services,Beauty worker,New Extension,27000,115000,6500,4,2,4,Working capital,0.63,5,13,32,0.31,6
B-099,Borrower 099,G10,retail,Clothing seller,New Extension,32500,145000,8200,3,3,4,Inventory,0.69,4,11,28,0.39,5
B-100,Borrower 100,G10,transport,Bicycle courier,New Extension,21500,90000,5200,4,1,5,Vehicle repair,0.60,5,14,35,0.25,7
